"Title", "Location", "Date", "Role"
"Grosvenor Conference", "London", "15 January 2018", "Moderator"
"PCA Workshops", "Australia", "23 January 2018", "Moderator"
"ULI Annual Conference", "Berlin", "31 January 2018", "Moderator"
"Oslo Region Alliance Event", "Oslo", "1 February 2018", "Moderator"
"NSW Government, Sydney & PCA Workshops", "Australia", "6 February 2018", "Moderator"
"LSE Lectures", "London", "12 February 2018" , "Moderator"
"FCC Workshop", "London", "15 February 2018" , "Moderator"
"ULI Gdynia Conference", "Poland", "19 February 2018", "Moderator"
"Brookings Events", "Washington DC", "22 February 2018", "Moderator"
"World Bank Mayors Symposium", "Vienna", "26 February 2018", "Moderator"
"Urban Global Future Conference", "Vienna", "28 February 2018", "Moderator"
"Queensland and Brisbane Visit", "Australia", "6 March 2018" , "Moderator"
"MIPIM", "Cannes, France", "12 March 2018", "Moderator"
"Barcelona Global Summit", "Spain", "21 March 2018", "Moderator"
"INREV Annual Conference", "Dublin", "11 April 2018", "Moderator"
"ULI Italy Conference", "Milan", "19 April 2018", "Moderator"
"ICSC European Conference", "Barcelona", "25 April 2018", "Moderator"
"FCC Workshop", "London", "2 May 2018", "Moderator"
"Oslo Report Launch", "Oslo", "7 May 2018", "Moderator"
"ULI Belgium Conference", "Brussels", "8 May 2018", "Moderator"
"IMEX Conference", "Frankfurt", "15 May 2018", "Moderator"
"London Business Arena", "London", "17 May 2018", "Moderator"
"Property Council of Australia Workshops and Launches", "Australia", "22 May 2018" , "Moderator"
"ULI Asia Pacific Conference", "Hong Kong", "5 June 2018" , "Moderator"
"Property Council of Australia", "Perth", "19 June 2018", "Moderator"
"Capita Public Sector Event", "London", "26 June 2018", "Moderator"
"World Cities Summit and Mayor’s Accord", "Singapore", "8 June 2018", "Moderator"
"SIWW Summit 2018", "Singapore", "10 June 2018", "Moderator"
"Orchard Road Project Workshop", "Singapore", "11 June 2018", "Moderator"
"IDB Visit", "Washington DC", "30 August 2018", "Moderator"
"EPRA Conference", "Berlin", "5 September 2018", "Moderator"
"IDB Visit", "Nassau", "10 September 2018", "Moderator"
"International Forum of Sovereign Wealth Funds", "Marrakech", "18 September 2018" 		 , "Moderator"
"Glasgow Chamber of Commerce Conference", "Glasgow", "20 September 2018", "Moderator"
"Brisbane and Queensland Visit", "Australia", "26 September 2018", "Moderator"
"EXPO Real", "Munich", "8 October 2018", "Moderator"
"ULI Italy", "Turin", "16 October 2018", "Moderator"
"ANREV Annual Conference", "Tokyo", "24 October 2018", "Moderator"
"ICCA Congress", "Dubai", "13 November 2018", "Moderator"
"Summit Shopping Tourism & Economy 2018", "Madrid", "20 November 2018" , "Moderator"
"ULI Warsaw Conference", "Poland", "26 November 2018" , "Moderator"
"State of the City Economic Conference", "Glasgow", "7 December 2018" , "Moderator"
"MIPIM", " Cannes, France", "11 March 2019", "Moderator"
"INREV Annual Conference", "Venice", "2 April 2019", "Moderator"
"IMEX Policy Forum", "", "21 April 2019", "Moderator"
"Urban Future Global Conference", "Oslo", "22 April 2019", "Moderator"
"ULI Asia Pacific Conference", "Shanghai", "11 June 2019", "Moderator"
"APSC", "Brisbane", "8 July 2019", "Moderator"
"WCS Mayor’s Forum", "Medellin", "10 July 2019", "Moderator"